MATRICULA,COORD. X,COORD. Y
890634,-2.4918835900000000,-44.2768261000000000
3524337,-2.4835305900000000,-44.2518761900000000
3524345,-2.4834881000000000,-44.2526656000000000
3524191,-2.4836154900000000,-44.2508529900000000
3524272,-2.4832586900000000,-44.2585499900000000
889490,0,0
3524183,-2.4833083000000000,-44.2481989900000000
3524124,-2.4835492900000000,-44.2499943900000000
3524051,-2.4827333900000000,-44.2453957000000000
3524078,-2.4835888900000000,-44.2517958900000000
14821508,0,0
2106086,-2.5758006900000000,-44.1914019000000000
2125536,-2.5748704900000000,-44.1877512000000000
7183283,0,0
2159694,-2.5557650000000000,-44.2410732900000000
697010,-2.5407329000000000,-44.2192010900000000
1296752,-2.5385029000000000,-44.2130632000000000
2838940,-2.5200917000000000,-44.2337832900000000
4397290,-2.5661876000000000,-44.2022122900000000
1619497,-2.5690602000000000,-44.2016362000000000
1226630,-2.5695605900000000,-44.2032882900000000
2376113,-2.5052704900000000,-44.2592029900000000
14714647,0,0
636436,-2.5433878900000000,-44.2351845900000000
4590724,-2.6008532900000000,-44.2211567000000000
671991,-2.5487174900000000,-44.2345739000000000
3411621,-2.5249505900000000,-44.2469128900000000
403814,-2.5337995000000000,-44.2440672900000000
1859935,-2.5018056900000000,-44.2290467900000000
1703757,-2.5204279000000000,-44.2426831000000000
440337,-2.5140709000000000,-44.2439006000000000
14813840,0,0
10973591,-2.5254061000000000,-44.2635147000000000
1166409,0,0
2171740,-2.5678371000000000,-44.3079186000000000
957925,-2.5682925900000000,-44.3078448900000000
1151320,0,0
959405,0,0
14037220,0,0
14799880,0,0
14799529,0,0
14808722,0,0
13691325,0,0
14798921,0,0
424633,-2.5159839900000000,-44.2555116900000000
14799740,0,0
412708,-2.5367497900000000,-44.2514278000000000
459925,-2.5239098000000000,-44.2640110900000000
11121386,-2.4958311000000000,-44.2394174000000000
14799065,0,0
11403721,0,0
11385588,-2.5038955000000000,-44.2939580000000000
941948,-2.5037470000000000,-44.2941434000000000
1155555,0,0
252158,0,0
10178090,-2.5456938000000000,-44.2879082900000000
97870,-2.5397910900000000,-44.2940394900000000
87793,-2.5392057900000000,-44.2957887900000000
45020,-2.5333071000000000,-44.2984823000000000
1266594,-2.5829439000000000,-44.1948002000000000
688550,-2.5462978000000000,-44.2211008000000000
594792,-2.5599796900000000,-44.2585138000000000
764515,-2.5735385000000000,-44.2314793900000000
655,-2.5310454000000000,-44.3038944900000000
14704145,-2.5374289000000000,-44.2846242900000000
0,0,0
0,0,0
685046,-2.5486746900000000,-44.2193954900000000
14799600,0,0
14807165,0,0
211737,-2.5349751900000000,-44.2805841900000000
8967970,-2.4993085900000000,-44.2171680000000000
472417,-2.5216775900000000,-44.2646500000000000
958980,-2.5617065000000000,-44.3359649000000000
11018887,-2.5067202000000000,-44.2376087900000000
85294,-2.5390624000000000,-44.2925388000000000
94676,-2.5402825900000000,-44.2933056900000000
108936,-2.5415790900000000,-44.2954998000000000
31305,-2.5321031900000000,-44.2995591900000000
10952,-2.5261295000000000,-44.3034454000000000
452483,-2.5059781000000000,-44.2434955000000000
232980,-2.5473591900000000,-44.2809357000000000
236632,-2.5488612000000000,-44.2796657900000000
1413600,-2.5388039000000000,-44.2423023900000000
4390423,0,0
14150930,-2.5413823900000000,-44.2186481000000000
3092100,-2.5020807900000000,-44.2225968900000000
639990,-2.5384928000000000,-44.2343396900000000
13063049,-2.6073786900000000,-44.1904038900000000
877557,-2.4873110900000000,-44.2237725000000000
2127199,-2.5839500000000000,-44.2064020900000000
439843,-2.5148600000000000,-44.2437477000000000
2884534,-2.5785537900000000,-44.1980708000000000
443824,-2.5131334000000000,-44.2451214000000000
931489,-2.5118090900000000,-44.3041029900000000
968412,-2.5593976000000000,-44.3325753000000000
793418,-2.5701817000000000,-44.2190468000000000
3496872,-2.5479807000000000,-44.2906958000000000
31437,-2.5322933900000000,-44.2995476900000000
34061,-2.5311705900000000,-44.2987849000000000
34274,-2.5312285000000000,-44.2981697900000000
7158912,-2.5824601900000000,-44.1895651900000000
2963566,-2.5785447900000000,-44.1868189900000000
2962004,-2.5774998000000000,-44.1854137900000000
1138847,-2.5628297900000000,-44.3165975000000000
14807203,0,0
13829742,0,0
173827,-2.5266679900000000,-44.2866858000000000
990175,-2.5583276000000000,-44.3298460000000000
10434232,-2.5073637900000000,-44.2511398900000000
475890,-2.5073637900000000,-44.2511398900000000
10434178,-2.5073637900000000,-44.2511398900000000
14807904,0,0
485683,-2.5089668000000000,-44.2704068900000000
1155555,0,0
14811642,0,0
1411861,-2.5626148900000000,-44.2124948000000000
3620,-2.5308489000000000,-44.3055410900000000
40827,-2.5340427000000000,-44.2984851000000000
302449,-2.5358157900000000,-44.2670091000000000
1817426,-2.5387594900000000,-44.2665119900000000
836427,-2.5569720000000000,-44.2306693900000000
1048597,-2.5485642900000000,-44.2128086000000000
1048325,-2.5490005900000000,-44.2124033900000000
